Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
3,1 Piemonte FM,Perosa Argentina (TO),RU10,RU10,,430.250000,DUP+,5.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.937500,7.208333,--:--
3,1 Piemonte FM,Serravalle (CN),RU10a,RU10a,,430.262500,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.562500,8.041667,--:--
3,1 Piemonte FM,Sampeyre (CN),RU11,RU11,,430.275000,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.562500,7.208333,--:--
3,1 Piemonte FM,Neviglie (CN),RU11a,RU11a,,430.287500,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.687500,8.125000,--:--
3,1 Piemonte FM,Roccabruna (CN),RU12 ,RU12 ,,430.300000,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.479167,7.291667,--:--
3,1 Piemonte FM,Angrogna - Val Pellice (TO),RU12a,RU12a,,430.312500,DUP+,5.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.854167,7.208333,--:--
3,1 Piemonte FM,Asti,RU13a,RU13a,,430.337500,DUP+,5.000000,FM,127.3,TONE,127.3Hz,YES,Approximate,44.895833,8.208333,--:--
3,1 Piemonte FM,Loazzolo (AT),RU13a,RU13a,,430.337500,DUP+,5.000000,FM,127.3,TONE,127.3Hz,YES,Approximate,44.687500,8.291667,--:--
3,1 Piemonte FM,Belforte M.to (AL),RU14a,RU14a,,430.362500,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.604167,8.625000,--:--
3,1 Piemonte FM,Bagnolo Piemonte-Montoso (CN),RU,RU,,430.425000,DUP+,5.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.770833,7.291667,--:--
3,1 Piemonte FM,Colle di Rucas (CN),RU,RU,,430.450000,DUP+,5.000000,FM,127.3,TONE,127.3Hz,YES,Approximate,44.604167,8.291667,--:--
3,1 Piemonte FM,Bagnolo Piemonte (CN),RU,RU,,430.600000,DUP+,5.000000,FM,127.3,TONE,127.3Hz,YES,Approximate,44.770833,7.291667,--:--
3,1 Piemonte FM,Torino,RU,RU,,430.612500,DUP+,5.000000,FM,67.0,TONE,67.0Hz,YES,Approximate,45.104167,7.708333,--:--
3,1 Piemonte FM,M.Malanotte  (CN),RU,RU,,430.650000,DUP+,5.000000,FM, ,OFF,88.5Hz,YES,Approximate,44.270833,7.791667,--:--
3,1 Piemonte FM,Mombaruzzo (AT),RU,RU,,430.787500,DUP+,5.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.770833,8.458333,--:--
3,1 Piemonte FM,Celle-Villardora (TO),RU16a,RU16a,,431.237500,DUP+,1.600000,FM,94.8,TONE,94.8Hz,YES,Approximate,45.145833,7.375000,--:--
3,1 Piemonte FM,Acqui Terme (AL),RU24,RU24,,431.425000,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.687500,8.458333,--:--
3,1 Piemonte FM,Coniolo (AL),RU25a,RU25a,,431.462500,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,45.145833,8.375000,--:--
3,1 Piemonte FM,M.Mottarone (VCO),RU28,RU28,,431.525000,DUP+,1.600000,FM,67.0,TONE,67.0Hz,YES,Approximate,45.895833,8.458333,--:--
3,1 Piemonte FM,Ovada (AL),T,T,,435.212500,OFF,0.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.604167,8.625000,--:--
2,1 Liguria FM,Masone (GE),T,T,,144.612500,OFF,0.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.479167,8.708333,--:--
2,1 Liguria FM,Pegli (GE),T,T,,144.675000,OFF,0.000000,FM,162.2,TONE,162.2Hz,YES,Approximate,44.437500,8.791667,--:--
2,1 Liguria FM,Rossiglione (GE),T,T,,145.212500,OFF,0.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.562500,8.708333,--:--
2,1 Liguria FM,M.Telegrafo - Busalla (GE),T out,T out,,145.225000,OFF,0.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.562500,8.875000,--:--
2,1 Liguria FM,Cilona - Busalla (GE),T,T,,145.312500,OFF,0.000000,FM,110,9,TONE,110.9Hz,YES,Approximate,44.562500,8.958333,--:--
2,1 Liguria FM,M.Leco (GE),RV,RV,,145.437500,DUP-,0.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.562500,8.875000,--:--
2,1 Liguria FM,M.Maggio (GE),T,T,,145.437500,OFF,0.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.562500,9.041667,--:--
2,1 Liguria FM,Val Tanaro (IM),RV-1,RV-1,,145.575000,DUP-,0.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.145833,7.958333,--:--
2,1 Liguria FM,M.Roveto-Busalla (GE),RV-1a,RV-1a,,145.587500,DUP-,0.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.604167,8.958333,--:--
2,1 Liguria FM,M.Faudo (IM),R0,R0,,145.600000,DUP-,0.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,43.895833,7.875000,--:--
2,1 Liguria FM,Genova,R1,R1,,145.625000,DUP-,0.600000,FM,,OFF,88.5Hz,YES,Approximate,44.395833,8.958333,--:--
2,1 Liguria FM,Lorsica (GE),R1a,R1a,,145.637500,DUP-,0.600000,FM,,OFF,88.5Hz,YES,Approximate,44.437500,9.208333,--:--
2,1 Liguria FM,Cosseria (SV),R1a,R1a,,145.637500,DUP-,0.600000,FM,110.9/162.2 loc,OFF,88.5Hz,YES,Approximate,44.354167,8.208333,--:--
2,1 Liguria FM,M.Bignone (IM),R2,R2,,145.650000,DUP-,0.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,43.854167,7.708333,--:--
2,1 Liguria FM,Bardineto (SV),R2a,R2a,,145.662500,DUP-,0.600000,FM,110.9/162.2 loc,OFF,88.5Hz,YES,Approximate,44.062500,8.375000,--:--
2,1 Liguria FM,M.Beigua (SV),R3,R3,,145.675000,DUP-,0.600000,FM,162.2 tx,OFF,88.5Hz,YES,Approximate,44.437500,8.541667,--:--
2,1 Liguria FM,Tigullio (GE),R3a,R3a,,145.687500,DUP-,0.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.270833,9.541667,--:--
2,1 Liguria FM,M.Figogna (GE),R4,R4,,145.700000,DUP-,0.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.437500,8.875000,--:--
2,1 Liguria FM,Sanremo (IM),R4,R4,,145.700000,DUP-,0.600000,FM,162.2,TONE,162.2Hz,YES,Approximate,43.812500,7.708333,--:--
2,1 Liguria FM,M.Fasce (GE),R5,R5,,145.725000,DUP-,0.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.395833,9.041667,--:--
2,1 Liguria FM,Pizzo d'Evigno - Stellanello,R5a,R5a,,145.737500,DUP-,0.600000,FM,162.2,TONE,162.2Hz,YES,Approximate,44.020833,8.041667,--:--
2,1 Liguria FM,Rapallo (GE),R6,R6,,145.750000,DUP-,0.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.354167,9.208333,--:--
2,1 Liguria FM,M.Tirasso - Alassio (SV) (SV),R6a,R6a,,145.762500,DUP-,0.600000,FM,110.9/162.2 loc,OFF,88.5Hz,YES,Approximate,44.020833,8.125000,--:--
2,1 Liguria FM,Dolcedo (IM),R7,R7,,145.775000,DUP-,0.600000,FM,162.2,TONE,162.2Hz,YES,Approximate,43.895833,7.875000,--:--
2,1 Liguria FM,Imperia,R7,R7,,145.775000,DUP-,0.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,43.895833,8.041667,--:--
2,1 Liguria FM,Perinaldo (IM),R7a,R7a,,145.787500,DUP-,0.600000,FM, ,OFF,88.5Hz,YES,Approximate,43.854167,7.625000,--:--
2,1 Liguria FM,Finale Ligure (SV),R7a,R7a,,145.787500,DUP-,0.600000,FM,110.9/162.2 loc,OFF,88.5Hz,YES,Approximate,44.187500,8.375000,--:--
2,1 Liguria FM,Cogorno (GE),RU0a,RU0a,,430.012500,DUP+,5.000000,FM,,OFF,88.5Hz,YES,Approximate,44.312500,9.375000,--:--
2,1 Liguria FM,Cosseria (SV),RU1,RU1,,430.025000,DUP+,1.600000,FM, ,OFF,88.5Hz,YES,Approximate,44.354167,8.208333,--:--
2,1 Liguria FM,M.Roveto - Busalla (GE),RU2,RU2,,430.050000,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.604167,8.958333,--:--
2,1 Liguria FM,Montegrosso Pian Latte (IM),RU2a,RU2a,,430.062500,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.062500,7.791667,--:--
2,1 Liguria FM,Spotorno (SV),RU3,RU3,,430.075000,DUP+,1.600000,FM,110.9/162.2 loc,OFF,88.5Hz,YES,Approximate,44.187500,8.375000,--:--
2,1 Liguria FM,San Nicolao (SP),RU3a,RU3a,,430.087500,DUP+,1.600000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.270833,9.541667,--:--
2,1 Liguria FM,M.Fasce (GE),RU5,RU5,,430.125000,DUP+,1.600000,FM,110.9 ,TONE,110.9Hz,YES,Approximate,44.395833,9.125000,--:--
2,1 Liguria FM,M.Figogna (GE),RU6,RU6,,430.150000,DUP+,1.600000,FM,110.9 ,TONE,110.9Hz,YES,Approximate,44.437500,8.875000,--:--
2,1 Liguria FM,T. Marconi-Sestri Levante (GE),RU7,RU7,,430.175000,DUP+,1.600000,FM, ,OFF,88.5Hz,YES,Approximate,44.270833,9.375000,--:--
2,1 Liguria FM,Finale Ligure (SV),RU7,RU7,,430.175000,DUP+,1.600000,FM,162.2,TONE,162.2Hz,YES,Approximate,44.187500,8.375000,--:--
2,1 Liguria FM,Santa Margherita Ligure (GE),RU7a,RU7a,,430.187500,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.354167,9.208333,--:--
2,1 Liguria FM,Bardineto (SV),RU8,RU8,,430.200000,DUP+,5.000000,FM,,OFF,88.5Hz,YES,Approximate,44.187500,8.125000,--:--
2,1 Liguria FM,Sant'Olcese (GE),RU11,RU11,,430.275000,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.479167,8.958333,--:--
2,1 Liguria FM,Val Tanaro (IM),RU15a,RU15a,,430.387500,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.145833,7.958333,--:--
2,1 Liguria FM,M.Leco (GE),RU,RU,,430.462500,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.562500,8.875000,--:--
2,1 Liguria FM,Albenga (SV),RU,RU,,430.475000,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.020833,8.208333,--:--
2,1 Liguria FM,M.Maggio - Savignone (GE),RU,RU,,430.487500,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.562500,9.041667,--:--
2,1 Liguria FM,Val di Vara (SP),RU,RU,,430.575000,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.354167,9.708333,--:--
2,1 Liguria FM,M.Telegrafo - Busalla (GE),RU,RU,,430.625000,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.562500,8.875000,--:--
2,1 Liguria FM,M.Maggio - Savignone (GE),RU,RU,,430.837500,DUP+,5.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.562500,9.041667,--:--
2,1 Liguria FM,Pegli (GE),T,T,,433.487500,OFF,0.000000,FM,162.2,TONE,162.2Hz,YES,Approximate,44.437500,8.791667,--:--
4,2 Lombardia FM,M.Pora (BG),T,T,,144.650000,OFF,0.000000,FM,71.9,TONE,71.9Hz,YES,Approximate,45.895833,10.125000,--:--
4,2 Lombardia FM,Darfo (BS),T,T,,145.212500,OFF,0.000000,FM,71.9,TONE,71.9Hz,YES,Approximate,45.854167,10.208333,--:--
4,2 Lombardia FM,Pigra - Valle d'Intelvi (CO),T,T,,145.350000,OFF,0.000000,FM,156.7,TONE,156.7Hz,YES,Approximate,45.937500,9.125000,--:--
