;R2a;145.662,5;-600 kHz;127.3;1 piemonte;AT;Roccaverano (AT);;;; ;JN34PS;170;243;002;;jk1jtd;;;;;;;;;;
;R3a;145.687,5;-600 kHz;82.5 ;1 piemonte;AL;Casale Monferrato (AL);EL;;380777;;JN45FD;69;238;002;;ari casale ;;;;;;;;;;
;R3a;145.687,5;-600 kHz;123.0;1 piemonte;TO;Bardonecchia (TO);EL;;275233;Val Dora;JN35IB;201;258;002;;cisar ik1pjl;;;;;;;;;;
;R4;145.700,0;-600 kHz;131.8;1 piemonte;NO;Arona (NO);C4FM;IR1G;;;JN45GS;61;302;002;;ari arona;;;;;;;;;;
;R4;145.700,0;-600 kHz; ;1 piemonte;TO;Pino Torinese (TO);;;;;JN35VA;122;246;002;;ari moncalieri i1ixc;;;;;;;;;;
;R4;145.700,0;-600 kHz;82.5;1 piemonte;TO;Alpe Colombino - Giaveno (TO);;IK1VDI;;;JN35PA;158;252;002;;ik1vdi iw1dni;;;;;;;;;;
;R4a;145.712,5;-600 kHz;82.5 ;1 piemonte;AT;M.Dago-Nizza Monferrato (AT) ;;IR1J;;;JN44EQ;110;217;002;;ari nizza m.to  iz1njn;;;;;;;;;;
;R5;145.725,0;-600 kHz;123.0;1 piemonte;TO;Susa (TO);;;;Val Dora;JN35MD;173;258;002;;ik1pjl;;;;;;;;;;
;R5a;145.737,5;-600 kHz;82.5 ;1 piemonte;AT;Costigliole d'Asti (AT);;;;;JN44CT;108;227;002;;iz1jvh;;;;;;;;;;
;R6;145.750,0;-600 kHz;82.5 ;1 piemonte;CN;Bagnolo Piemonte (CN);;IR1B;;Val Chisone;JN34PS;170;243;002;;ari pinerolo;;;;;;;;;;
;R6;145.750,0;-600 kHz;67.0;1 piemonte;VCO;M.Moncucco (VCO);;;;;JN46DC;99;315;002;;iw1bzh;;;;;;;;;;
;R6a;145.762,5;-600 kHz;162.2;1 piemonte;Al;Fracconalto (AL);;;;Olcese;JN44KO;101;195;002;;iu1gaa;;;;;;;;;;
;R6a;145.762,5;-600 kHz;127.3;1 piemonte;CN;Mondovi' (CN);C4FM;IR1I;;;JN34WJ;160;222;002;;ari mondovi';;;;;;;;;;
;R6a;145.762,5;-600 kHz;107.2;1 piemonte;TO;Sestriere (TO);;;;Sestriere-Susa;JN34KX;191;254;002;;iz1gct;;;;;;;;;;
;R6a;145.762,5;-600 kHz;82.5;1 piemonte;TO;Castellamonte (TO);EL;;206277;;JN35UK;117;268;002;;ik1bqd;;;;;;;;;;
;R6a;145.762,5;-600 kHz;67.0;1 piemonte;TO;Torino;;IR1EB;;;JN35UC;124;251;002;;ik1bqd;;;;;;;;;;
;R6a;145.762,5;-600 kHz;88.5;1 piemonte;VCO;M.Mottarone (VCO);;;;;JN45FU;72;306;002;;ari domodossola iw1bzh;;;;;;;;;;
;R7;145.775,0;-600 kHz;82.5 ;1 piemonte;AL;Stazzano (AL);;;;;JN44KR;87;198;002;;ari novi ligure;;;;;;;;;;
;R7a;145.787,5;-600 kHz;DG-ID:07;1 piemonte;CN;Neviglie (CN);C4FM;IZ1PNY;;WIRES-X;JN44BQ;122;224;002;;gruppo c4fm cuneo;;;;;;;;;;
;R7a;145.787,5;-600 kHz;67.0;1 piemonte;TO;Torino;EL;;262414;Val Dora;JN35UB;126;249;002;;ik1pjl;;;;;;;;;;
;RU0a;430.012,5;+5.0 MHz; ;1 piemonte;AL;Ponzone (AL);DMR;IR1UGF;222131;D2ALP;JN44FO;114;211;002;;iz1ngu;;;;;;;;;;
;RU1;430.025,0;+1.6 MHz;114.8;1 piemonte;TO;Bardonecchia (TO);EL;;229829;Val Susa;JN35IB;201;258;002;;ik1ybm;;;;;;;;;;
;RU1;430.025,0;+1.6 MHz;82.5;1 piemonte;VCO;Trontano (VCO);;;;;JN46DC;99;315;002;;ari domodossola iw1bzh;;;;;;;;;;
;RU2;430.050,0;+5.0 MHz;82.5;1 piemonte;CN;M.Malanotte - Mondovi' (CN);EL;;743631;  ;JN34VG;175;220;002;;era imperia iw1bnq iw1cgw  iz1myt ;;;;;;;;;;
;RU2a;430.062,5;+1.6 MHz;82.5;1 piemonte;AL;Mornasco (AL);;;;;JN44JP;98;200;002;;iz1dyb;;;;;;;;;;
;RU2a;430.062,5;+1.6 MHz;71.9;1 piemonte;AL;M. Giarolo (AL);EL;;157311;it-radio;JN44NR;84;185;002;;ik2bat;;;;;;;;;;
;RU3;430.075,0;+1.6 MHz;82.5;1 piemonte;CN;Mondovi' (CN);;;;;JN34VI;167;222;002;;ari mondovi';;;;;;;;;;
