Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
03,FM Liguria,M.Telegrafo - Busalla (GE),RU,,,430.625000,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.562500,8.875000,--:--
03,FM Liguria,M.Telegrafo - Busalla (GE),T out,,,145.225000,OFF,0.000000,FM,TONE,110.9Hz,YES,Approximate,44.562500,8.875000,--:--
03,FM Liguria,M.Tirasso - Alassio (SV) (SV),R6a,,,145.762500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.020833,8.125000,--:--
03,FM Liguria,Masone (GE),T,,,144.612500,OFF,0.000000,FM,TONE,82.5Hz,YES,Approximate,44.479167,8.708333,--:--
03,FM Liguria,Montegrosso Pian Latte (IM),RU2a,,,430.062500,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.062500,7.791667,--:--
03,FM Liguria,Pegli (GE),T,,,144.675000,OFF,0.000000,FM,TONE,162.2Hz,YES,Approximate,44.437500,8.791667,--:--
03,FM Liguria,Pegli (GE),T,,,433.487500,OFF,0.000000,FM,TONE,162.2Hz,YES,Approximate,44.437500,8.791667,--:--
03,FM Liguria,Perinaldo (IM),R7a,,,145.787500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,43.854167,7.625000,--:--
03,FM Liguria,Pizzo d'Evigno - Stellanello,R5a,,,145.737500,DUP-,0.600000,FM,TONE,162.2Hz,YES,Approximate,44.020833,8.041667,--:--
03,FM Liguria,Rapallo (GE),R6,,,145.750000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,44.354167,9.208333,--:--
03,FM Liguria,Rossiglione (GE),T,,,145.212500,OFF,0.000000,FM,TONE,82.5Hz,YES,Approximate,44.562500,8.708333,--:--
03,FM Liguria,San Nicolao (SP),RU3a,,,430.087500,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,44.270833,9.541667,--:--
03,FM Liguria,Sanremo (IM),R4,,,145.700000,DUP-,0.600000,FM,TONE,162.2Hz,YES,Approximate,43.812500,7.708333,--:--
03,FM Liguria,Sant'Olcese (GE),RU11,,,430.275000,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.479167,8.958333,--:--
03,FM Liguria,Santa Margherita Ligure (GE),RU7a,,,430.187500,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.354167,9.208333,--:--
03,FM Liguria,Spotorno (SV),RU3,,,430.075000,DUP+,1.600000,FM,OFF,88.5Hz,YES,Approximate,44.187500,8.375000,--:--
03,FM Liguria,T. Marconi-Sestri Levante (GE),RU7,,,430.175000,DUP+,1.600000,FM,OFF,88.5Hz,YES,Approximate,44.270833,9.375000,--:--
03,FM Liguria,Tigullio (GE),R3a,,,145.687500,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,44.270833,9.541667,--:--
03,FM Liguria,Val Tanaro (IM),RU15a,,,430.387500,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.145833,7.958333,--:--
03,FM Liguria,Val Tanaro (IM),RV-1,,,145.575000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,44.145833,7.958333,--:--
03,FM Liguria,Val di Vara (SP),RU,,,430.575000,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.354167,9.708333,--:--
04,DV Piemonte,Alice Bel Colle,IR1UIV,IR1UIV B,IR1UIV G,430.875000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.725833,8.451167,--:--
04,DV Piemonte,Arona,IW1GB,IW1GB  B,IW1GB  G,430.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.760000,8.549667,--:--
04,DV Piemonte,Asigliano,IU1NPI,IU1NPI B,IU1NPI G,431.400000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.250000,8.440000,--:--
04,DV Piemonte,Cantoira TO,IU1NSW,IU1NSW B,IU1NSW G,430.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.335333,7.390000,--:--
04,DV Piemonte,Ceresole TO,IZ1DSJ,IZ1DSJ B,IZ1DSJ G,430.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.427167,7.246667,--:--
04,DV Piemonte,Corio TO,IR1A,IR1A   B,IR1A   G,430.575000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.330000,7.546667,--:--
04,DV Piemonte,Grugliasco TO,IW1DGK,IW1DGK B,IW1DGK G,433.937500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.071833,7.598167,--:--
04,DV Piemonte,Lingotto,IU1KWK,IU1KWK B,IU1KWK G,434.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.042833,7.643500,--:--
04,DV Piemonte,M. Garne' TO,IR1UW,IR1UW  B,IR1UW  G,430.200000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.309167,7.418167,+1:00
04,DV Piemonte,Ozzano,IR1UDI,IR1UDI B,IR1UDI G,430.025000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.122833,8.410167,--:--
04,DV Piemonte,Pallanzeno,IZ1ZPJ,IZ1ZPJ B,IZ1ZPJ G,430.987500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,46.056667,8.262333,--:--
04,DV Piemonte,Prarostino TO,IW1GLE,IW1GLE B,IW1GLE G,435.025000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Exact,44.865500,7.269500,--:--
04,DV Piemonte,Verzuolo,IZ1RTF,IZ1RTF B,IZ1RTF G,431.550000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.604167,7.482167,--:--
05,FM Piemonte,Acqui Terme (AL),RU24,,,431.425000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,44.687500,8.458333,--:--
05,FM Piemonte,Acqui Terme (AL),RU9,,,430.225000,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,44.604167,8.375000,--:--
05,FM Piemonte,Alpe Colombino - Giaveno (TO),R4,,,145.700000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,45.020833,7.291667,--:--
05,FM Piemonte,Angrogna - Val Pellice (TO),RU12a,,,430.312500,DUP+,5.000000,FM,TONE,82.5Hz,YES,Approximate,44.854167,7.208333,--:--
05,FM Piemonte,Aquila di Giaveno (TO),R2,,,145.650000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,45.020833,7.291667,--:--
05,FM Piemonte,Asti,R1a,,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.895833,8.208333,--:--
05,FM Piemonte,Asti,RU13a,,,430.337500,DUP+,5.000000,FM,TONE,127.3Hz,YES,Approximate,44.895833,8.208333,--:--
05,FM Piemonte,Asti,RU5,,,430.125000,DUP+,5.000000,FM,TONE,127.3Hz,YES,Approximate,44.895833,8.208333,--:--
05,FM Piemonte,Bagnolo Piemonte (CN),R6,,,145.750000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,44.770833,7.291667,--:--
05,FM Piemonte,Bagnolo Piemonte (CN),RU,,,430.600000,DUP+,5.000000,FM,TONE,127.3Hz,YES,Approximate,44.770833,7.291667,--:--
05,FM Piemonte,Bagnolo Piemonte-Montoso (CN),RU,,,430.425000,DUP+,5.000000,FM,TONE,82.5Hz,YES,Approximate,44.770833,7.291667,--:--
05,FM Piemonte,Belforte M.to (AL),RU14a,,,430.362500,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,44.604167,8.625000,--:--
05,FM Piemonte,Belforte Monferrato (AL),T,,,144.512500,OFF,0.000000,FM,TONE,82.5Hz,YES,Approximate,44.604167,8.625000,--:--
05,FM Piemonte,Celle-Villardora (TO),RU16a,,,431.237500,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,45.145833,7.375000,--:--
05,FM Piemonte,Cesana Torinese (TO),R0,,,145.600000,DUP-,0.600000,FM,TONE,123.0Hz,YES,Approximate,44.937500,6.791667,--:--
05,FM Piemonte,Colle di Rucas (CN),RU,,,430.450000,DUP+,5.000000,FM,TONE,127.3Hz,YES,Approximate,44.604167,8.291667,--:--
05,FM Piemonte,Coniolo (AL),RU25a,,,431.462500,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,45.145833,8.375000,--:--
05,FM Piemonte,Corio (TO),RU6,,,430.150000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,45.354167,7.541667,--:--
05,FM Piemonte,Cossato (BI),R0,,,145.600000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,45.562500,8.208333,--:--
05,FM Piemonte,Costigliole d'Asti (AT),R5a,,,145.737500,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,44.812500,8.208333,--:--
05,FM Piemonte,Fracconalto (AL),R6a,,,145.762500,DUP-,0.600000,FM,TONE,162.2Hz,YES,Approximate,44.604167,8.875000,--:--
05,FM Piemonte,Frassinetto (TO),R0,,,145.600000,DUP-,0.600000,FM,TONE,127.3Hz,YES,Approximate,45.437500,7.625000,--:--
05,FM Piemonte,La Morra (CN),RU8a,,,430.212500,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,44.645833,7.958333,--:--
05,FM Piemonte,Loazzolo (AT),RU13a,,,430.337500,DUP+,5.000000,FM,TONE,127.3Hz,YES,Approximate,44.687500,8.291667,--:--
05,FM Piemonte,M. Cimolo (VCO),RV-1a,,,145.587500,DUP-,0.600000,FM,TONE,131.8Hz,YES,Approximate,45.979167,8.625000,--:--
05,FM Piemonte,M. Mottarone (VCO),R0a,,,145.612500,DUP-,0.600000,FM,TONE,127.3Hz,YES,Approximate,45.895833,8.458333,--:--
05,FM Piemonte,M. Mottarone (VCO),RU6a,,,430.162500,DUP+,1.600000,FM,TONE,127.3Hz,YES,Approximate,45.895833,8.458333,--:--
05,FM Piemonte,M.Dago-Nizza Monferrato (AT),R4a,,,145.712500,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,44.687500,8.375000,--:--
05,FM Piemonte,M.Malanotte  (CN),RU,,,430.650000,DUP+,5.000000,FM,OFF,88.5Hz,YES,Approximate,44.270833,7.791667,--:--
05,FM Piemonte,M.Moncucco (VCO),R6,,,145.750000,DUP-,0.600000,FM,TONE,67.0Hz,YES,Approximate,46.104167,8.291667,--:--
05,FM Piemonte,M.Moncucco (VCO),RU8a,,,430.212500,DUP+,1.600000,FM,TONE,127.3Hz,YES,Approximate,46.104167,8.291667,--:--
05,FM Piemonte,M.Mottarone (VCO),R6a,,,145.762500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,45.854167,8.458333,--:--
05,FM Piemonte,M.Mottarone (VCO),RU28,,,431.525000,DUP+,1.600000,FM,TONE,67.0Hz,YES,Approximate,45.895833,8.458333,--:--
05,FM Piemonte,Mombaruzzo (AT),RU,,,430.787500,DUP+,5.000000,FM,TONE,82.5Hz,YES,Approximate,44.770833,8.458333,--:--
05,FM Piemonte,Mondovi' (CN),RU3,,,430.075000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,44.354167,7.791667,--:--
05,FM Piemonte,Mornasco (AL),RU2a,,,430.062500,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,44.645833,8.791667,--:--
05,FM Piemonte,Neviglie (CN),RU11a,,,430.287500,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,44.687500,8.125000,--:--
05,FM Piemonte,Novi Ligure (AL),RU7,,,430.175000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,44.770833,8.791667,--:--
05,FM Piemonte,Ovada (AL),T,,,435.212500,OFF,0.000000,FM,TONE,110.9Hz,YES,Approximate,44.604167,8.625000,--:--
05,FM Piemonte,Paroldo (CN),RV,,,145.487500,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,44.437500,8.041667,--:--
05,FM Piemonte,Perosa Argentina (TO),RU10,,,430.250000,DUP+,5.000000,FM,TONE,82.5Hz,YES,Approximate,44.937500,7.208333,--:--
05,FM Piemonte,Pino Torinese (TO),R4,,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,45.020833,7.791667,--:--
05,FM Piemonte,Prarostino (TO),R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.854167,7.291667,--:--
05,FM Piemonte,Roccabruna (CN),RU12,,,430.300000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,44.479167,7.291667,--:--
05,FM Piemonte,Roccaverano (AT),R2a,,,145.662500,DUP-,0.600000,FM,TONE,127.3Hz,YES,Approximate,44.770833,7.291667,--:--
05,FM Piemonte,Sampeyre (CN),RU11,,,430.275000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,44.562500,7.208333,--:--
05,FM Piemonte,Serravalle (CN),RU10a,,,430.262500,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,44.562500,8.041667,--:--
05,FM Piemonte,Sestriere (TO),R6a,,,145.762500,DUP-,0.600000,FM,TONE,107.2Hz,YES,Approximate,44.979167,6.875000,--:--
05,FM Piemonte,Stazzano (AL),R7,,,145.775000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,44.729167,8.875000,--:--
05,FM Piemonte,Susa (TO),R5,,,145.725000,DUP-,0.600000,FM,TONE,123.0Hz,YES,Approximate,45.145833,7.041667,--:--
05,FM Piemonte,Torino,R6a,,,145.762500,DUP-,0.600000,FM,TONE,67.0Hz,YES,Approximate,45.104167,7.708333,--:--
05,FM Piemonte,Torino,RU,,,430.612500,DUP+,5.000000,FM,TONE,67.0Hz,YES,Approximate,45.104167,7.708333,--:--
05,FM Piemonte,Trontano (VCO),RU1,,,430.025000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,46.104167,8.291667,--:--
06,DV Lombardia,Abbiategrasso,IZ2LPW,IZ2LPW C,IZ2LPW G,144.762500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.405667,8.922667,--:--
06,DV Lombardia,Bernate Ticino,IR2UEI,IR2UEI B,IR2UEI G,430.950000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.467333,8.831000,+1:00
06,DV Lombardia,Bollate Milano,IR2UFV,IR2UFV B,IR2UFV G,433.625000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,45.546167,9.111500,+1:00
06,DV Lombardia,Caidate,IK2YYL,IK2YYL H,IK2YYL G,433.987500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.752000,8.785500,--:--
06,DV Lombardia,Campo dei Fiori,IK2YYL,IK2YYL B,IK2YYL G,431.425000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.868167,8.773667,+1:00
06,DV Lombardia,Casina Biscia,IZ2VIT,IZ2VIT B,IZ2VIT G,433.050000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.584667,9.076500,--:--
